UserName,Email,Role
admin,admin@comp584.local,admin
leader1,leader1@comp584.local,admin
leader2,leader2@comp584.local,admin
user1,user1@comp584.local,registereduser
user2,user2@comp584.local,registereduser
user3,user3@comp584.local,registereduser
user4,user4@comp584.local,registereduser
user5,user5@comp584.local,registereduser
user6,user6@comp584.local,registereduser
user7,user7@comp584.local,registereduser
user8,user8@comp584.local,registereduser
user9,user9@comp584.local,registereduser
user10,user10@comp584.local,registereduser
user11,user11@comp584.local,registereduser
user12,user12@comp584.local,registereduser
user13,user13@comp584.local,registereduser
user14,user14@comp584.local,registereduser
user15,user15@comp584.local,registereduser
